audio,id
English,4427
Japanese,869
Korean,508
Hindi,292
Mandarin,270
French,233
Swedish,212
Spanish,201
Arabic,193
Indonesian,170
German,145
Italian,138
Turkish,111
Russian,104
Danish,102
Thai,100
Filipino,99
Brazilian Portuguese,92
Cantonese,89
Czech,87
European Spanish,82
Vietnamese,80
Polish,68
Dutch,64
Norwegian,62
Romanian,61
Tamil,38
Malay,35
Hungarian,25
Malayalam,19
Marathi,14
Punjabi,14
Silent,12
Telugu,12
Zulu,6
Slovak,6
Bangla,6
Flemish,5
Finnish,5
Taiwanese,4
Kannada,4
Portuguese,3
Yoruba,3
Afrikaans,3
European,3
Canadian French,3
Tagalog,2
Persian,2
Hausa,2
Swahili,2
Urdu,2
Georgian,2
Icelandic,2
Dari,1
Mongolian,1
Tibetan,1
Wolof,1
Xhosa,1
Yiddish,1
Brazilian,1
Catalan,1
Swiss German,1
Gujarati,1
Hebrew,1
Hokkien,1
Sanskrit,1
Javanese,1
Latin,1
Quechua,1
Amharic,1
Luxembourgish,1
Mayan,1
Lingala,1
