source,target,value
1,Drama,536
1,Comedy,465
1,Action,218
1,Romance,221
1,Crime,214
2,Drama,525
2,Comedy,423
2,Action,165
2,Romance,226
2,Crime,151
3,Drama,687
3,Comedy,512
3,Action,269
3,Romance,275
3,Crime,240
4,Drama,2026
4,Comedy,1878
4,Action,1026
4,Romance,938
4,Crime,903
5,Drama,521
5,Comedy,462
5,Action,207
5,Romance,241
5,Crime,211
6,Drama,486
6,Comedy,378
6,Action,170
6,Romance,217
6,Crime,187
7,Drama,498
7,Comedy,457
7,Action,212
7,Romance,231
7,Crime,190
8,Drama,436
8,Comedy,471
8,Action,196
8,Romance,227
8,Crime,182
9,Drama,631
9,Comedy,532
9,Action,230
9,Romance,264
9,Crime,212
10,Drama,757
10,Comedy,611
10,Action,283
10,Romance,328
10,Crime,257
11,Drama,720
11,Comedy,539
11,Action,294
11,Romance,313
11,Crime,226
12,Drama,793
12,Comedy,785
12,Action,376
12,Romance,343
12,Crime,288
