audio,count,release_date
English,1,2014-09-15
English,3478,2015-04-14
French,113,2015-04-14
Japanese,111,2015-04-14
German,66,2015-04-14
Spanish,53,2015-04-14
Dutch,48,2015-04-14
Hindi,48,2015-04-14
Korean,47,2015-04-14
Mandarin,32,2015-04-14
Swedish,28,2015-04-14
English,3519,2015-04-15
French,114,2015-04-15
Japanese,112,2015-04-15
German,66,2015-04-15
Dutch,56,2015-04-15
Spanish,54,2015-04-15
Hindi,48,2015-04-15
Korean,47,2015-04-15
Mandarin,33,2015-04-15
Swedish,28,2015-04-15
English,3520,2015-04-16
French,115,2015-04-16
Japanese,112,2015-04-16
German,66,2015-04-16
Dutch,56,2015-04-16
Spanish,54,2015-04-16
Hindi,48,2015-04-16
Korean,47,2015-04-16
Mandarin,33,2015-04-16
Swedish,28,2015-04-16
English,3521,2015-04-18
French,115,2015-04-18
Japanese,112,2015-04-18
German,66,2015-04-18
Dutch,56,2015-04-18
Spanish,54,2015-04-18
Hindi,48,2015-04-18
Korean,47,2015-04-18
Mandarin,33,2015-04-18
Swedish,28,2015-04-18
English,3526,2015-04-19
French,115,2015-04-19
Japanese,114,2015-04-19
German,66,2015-04-19
Dutch,56,2015-04-19
Spanish,55,2015-04-19
Korean,48,2015-04-19
Hindi,48,2015-04-19
Mandarin,33,2015-04-19
Swedish,28,2015-04-19
English,3527,2015-04-20
French,115,2015-04-20
Japanese,114,2015-04-20
German,66,2015-04-20
Dutch,56,2015-04-20
Spanish,55,2015-04-20
Korean,48,2015-04-20
Hindi,48,2015-04-20
Mandarin,33,2015-04-20
Swedish,28,2015-04-20
English,3527,2015-04-21
French,115,2015-04-21
Japanese,114,2015-04-21
German,66,2015-04-21
Dutch,56,2015-04-21
Spanish,55,2015-04-21
Korean,48,2015-04-21
Hindi,48,2015-04-21
Mandarin,33,2015-04-21
Swedish,29,2015-04-21
English,3531,2015-04-22
French,115,2015-04-22
Japanese,114,2015-04-22
German,66,2015-04-22
Dutch,56,2015-04-22
Spanish,55,2015-04-22
Korean,48,2015-04-22
Hindi,48,2015-04-22
Mandarin,33,2015-04-22
Swedish,29,2015-04-22
English,3549,2015-04-23
French,115,2015-04-23
Japanese,114,2015-04-23
German,66,2015-04-23
Dutch,56,2015-04-23
Spanish,55,2015-04-23
Korean,48,2015-04-23
Hindi,48,2015-04-23
Mandarin,33,2015-04-23
Swedish,29,2015-04-23
English,3553,2015-04-24
French,115,2015-04-24
Japanese,114,2015-04-24
German,66,2015-04-24
Dutch,56,2015-04-24
Spanish,55,2015-04-24
Korean,48,2015-04-24
Hindi,48,2015-04-24
Mandarin,33,2015-04-24
Swedish,29,2015-04-24
English,3554,2015-04-26
French,115,2015-04-26
Japanese,114,2015-04-26
German,66,2015-04-26
Dutch,56,2015-04-26
Spanish,55,2015-04-26
Korean,48,2015-04-26
Hindi,48,2015-04-26
Mandarin,33,2015-04-26
Swedish,29,2015-04-26
English,3556,2015-04-30
French,115,2015-04-30
Japanese,114,2015-04-30
German,66,2015-04-30
Dutch,56,2015-04-30
Spanish,55,2015-04-30
Korean,48,2015-04-30
Hindi,48,2015-04-30
Mandarin,33,2015-04-30
Swedish,29,2015-04-30
English,3570,2015-05-01
French,115,2015-05-01
Japanese,114,2015-05-01
German,66,2015-05-01
Dutch,56,2015-05-01
Spanish,55,2015-05-01
Korean,48,2015-05-01
Hindi,48,2015-05-01
Mandarin,33,2015-05-01
Swedish,29,2015-05-01
English,3584,2015-05-02
French,116,2015-05-02
Japanese,114,2015-05-02
German,67,2015-05-02
Dutch,56,2015-05-02
Spanish,55,2015-05-02
Korean,49,2015-05-02
Hindi,48,2015-05-02
Mandarin,33,2015-05-02
Swedish,29,2015-05-02
English,3585,2015-05-03
French,116,2015-05-03
Japanese,114,2015-05-03
German,67,2015-05-03
Dutch,56,2015-05-03
Spanish,55,2015-05-03
Korean,49,2015-05-03
Hindi,48,2015-05-03
Mandarin,33,2015-05-03
Swedish,29,2015-05-03
English,3586,2015-05-04
French,116,2015-05-04
Japanese,114,2015-05-04
German,67,2015-05-04
Dutch,56,2015-05-04
Spanish,55,2015-05-04
Korean,49,2015-05-04
Hindi,48,2015-05-04
Mandarin,33,2015-05-04
Swedish,29,2015-05-04
English,3589,2015-05-06
French,116,2015-05-06
Japanese,114,2015-05-06
German,67,2015-05-06
Dutch,56,2015-05-06
Spanish,55,2015-05-06
Korean,49,2015-05-06
Hindi,48,2015-05-06
Mandarin,33,2015-05-06
Swedish,29,2015-05-06
English,3590,2015-05-07
French,116,2015-05-07
Japanese,114,2015-05-07
German,67,2015-05-07
Dutch,56,2015-05-07
Spanish,55,2015-05-07
Korean,49,2015-05-07
Hindi,48,2015-05-07
Mandarin,33,2015-05-07
Swedish,29,2015-05-07
English,3591,2015-05-08
Japanese,117,2015-05-08
French,116,2015-05-08
German,67,2015-05-08
Dutch,56,2015-05-08
Spanish,55,2015-05-08
Korean,49,2015-05-08
Hindi,48,2015-05-08
Mandarin,33,2015-05-08
Swedish,29,2015-05-08
English,3592,2015-05-09
Japanese,117,2015-05-09
French,116,2015-05-09
German,67,2015-05-09
Dutch,56,2015-05-09
Spanish,55,2015-05-09
Korean,49,2015-05-09
Hindi,48,2015-05-09
Mandarin,33,2015-05-09
Swedish,29,2015-05-09
English,3597,2015-05-10
Japanese,117,2015-05-10
French,116,2015-05-10
German,67,2015-05-10
Dutch,56,2015-05-10
Spanish,55,2015-05-10
Korean,49,2015-05-10
Hindi,48,2015-05-10
Mandarin,33,2015-05-10
Swedish,29,2015-05-10
English,3599,2015-05-13
Japanese,117,2015-05-13
French,116,2015-05-13
German,67,2015-05-13
Dutch,56,2015-05-13
