,release month,count
0,09-01-2014,1
1,04-01-2015,1581
2,05-01-2015,38
3,06-01-2015,37
4,07-01-2015,30
5,08-01-2015,29
6,09-01-2015,169
7,10-01-2015,95
8,11-01-2015,55
9,12-01-2015,62
10,01-01-2016,72
11,02-01-2016,24
12,03-01-2016,41
13,04-01-2016,44
14,05-01-2016,35
15,06-01-2016,40
16,07-01-2016,56
17,08-01-2016,46
18,09-01-2016,83
19,10-01-2016,93
20,11-01-2016,81
21,12-01-2016,100
22,01-01-2017,47
23,02-01-2017,42
24,03-01-2017,91
25,04-01-2017,86
26,05-01-2017,57
27,06-01-2017,64
28,07-01-2017,53
29,08-01-2017,46
30,09-01-2017,70
31,10-01-2017,35
32,11-01-2017,54
33,12-01-2017,131
34,01-01-2018,54
35,02-01-2018,45
36,03-01-2018,56
37,04-01-2018,86
38,05-01-2018,51
39,06-01-2018,44
40,07-01-2018,122
41,08-01-2018,85
42,09-01-2018,71
43,10-01-2018,177
44,11-01-2018,115
45,12-01-2018,106
46,01-01-2019,60
47,02-01-2019,78
48,03-01-2019,72
49,04-01-2019,86
50,05-01-2019,103
51,06-01-2019,104
52,07-01-2019,95
53,08-01-2019,91
54,09-01-2019,122
55,10-01-2019,89
56,11-01-2019,124
57,12-01-2019,127
58,01-01-2020,118
59,02-01-2020,122
60,03-01-2020,177
61,04-01-2020,206
62,05-01-2020,197
63,06-01-2020,281
64,07-01-2020,389
65,08-01-2020,355
66,09-01-2020,345
67,10-01-2020,419
68,11-01-2020,495
69,12-01-2020,560
70,01-01-2021,268
71,02-01-2021,455
72,03-01-2021,446
73,04-01-2021,355
74,05-01-2021,248
