age rating,year,percentage,category
10+,2015,0.07907477138246369,movies
13+,2015,0.35126412049488975,movies
16+,2015,0.3641742872512103,movies
18+,2015,0.07638515330823023,movies
3+,2015,0.03335126412049489,movies
7+,2015,0.03066164604626143,movies
NR,2015,0.064550833781603,movies
10+,2016,0.07058343533251733,movies
13+,2016,0.3623011015911873,movies
16+,2016,0.3598531211750306,movies
18+,2016,0.06650346797225622,movies
3+,2016,0.03182374541003672,movies
7+,2016,0.033047735618115054,movies
NR,2016,0.07547939616483068,movies
10+,2017,0.0701468189233279,movies
13+,2017,0.3601957585644372,movies
16+,2017,0.3523654159869494,movies
18+,2017,0.0600326264274062,movies
3+,2017,0.038499184339314846,movies
7+,2017,0.03197389885807504,movies
NR,2017,0.0864600326264274,movies
10+,2018,0.065738592420727,movies
13+,2018,0.3750966744006187,movies
16+,2018,0.34931683423562776,movies
18+,2018,0.05774684196957979,movies
3+,2018,0.03763856664088683,movies
7+,2018,0.03145140500128899,movies
NR,2018,0.08275328692962104,movies
10+,2019,0.0593607305936073,movies
13+,2019,0.38065587380655874,movies
16+,2019,0.3472395184723952,movies
18+,2019,0.06911581569115816,movies
3+,2019,0.034039020340390205,movies
7+,2019,0.03839767538397675,movies
NR,2019,0.070568700705687,movies
10+,2020,0.04538895447986357,movies
13+,2020,0.41938869211596486,movies
16+,2020,0.33451397087760726,movies
18+,2020,0.07936507936507936,movies
3+,2020,0.028466483011937556,movies
7+,2020,0.047750229568411386,movies
NR,2020,0.044601862783680966,movies
10+,2021,0.042747252747252745,movies
13+,2021,0.432967032967033,movies
16+,2021,0.32769230769230767,movies
18+,2021,0.08351648351648351,movies
3+,2021,0.024835164835164836,movies
7+,2021,0.05043956043956044,movies
NR,2021,0.03736263736263736,movies
10+,2015,0.08403361344537816,shows
13+,2015,0.3403361344537815,shows
16+,2015,0.1722689075630252,shows
18+,2015,0.01680672268907563,shows
3+,2015,0.12184873949579832,shows
7+,2015,0.14285714285714285,shows
NR,2015,0.12184873949579832,shows
10+,2016,0.06925207756232687,shows
13+,2016,0.296398891966759,shows
16+,2016,0.18005540166204986,shows
18+,2016,0.0110803324099723,shows
3+,2016,0.10249307479224377,shows
7+,2016,0.13019390581717452,shows
NR,2016,0.21052631578947367,shows
10+,2017,0.06500956022944551,shows
13+,2017,0.26003824091778205,shows
16+,2017,0.17782026768642448,shows
18+,2017,0.011472275334608031,shows
3+,2017,0.09177820267686425,shows
7+,2017,0.12237093690248566,shows
NR,2017,0.27151051625239003,shows
10+,2018,0.052704576976421634,shows
13+,2018,0.2843273231622746,shows
16+,2018,0.18446601941747573,shows
18+,2018,0.012482662968099861,shows
3+,2018,0.08183079056865465,shows
7+,2018,0.10957004160887657,shows
NR,2018,0.27461858529819694,shows
10+,2019,0.04501607717041801,shows
13+,2019,0.31939978563772775,shows
16+,2019,0.1832797427652733,shows
18+,2019,0.01822079314040729,shows
3+,2019,0.09753483386923902,shows
7+,2019,0.11146838156484459,shows
NR,2019,0.22508038585209003,shows
10+,2020,0.03294249022892239,shows
13+,2020,0.38637632607481853,shows
16+,2020,0.2199888330541597,shows
18+,2020,0.06141820212171971,shows
3+,2020,0.08040201005025126,shows
7+,2020,0.10161920714684534,shows
NR,2020,0.11725293132328309,shows
10+,2021,0.03211888782358581,shows
13+,2021,0.40076701821668265,shows
16+,2021,0.22579098753595397,shows
18+,2021,0.0685522531160115,shows
3+,2021,0.07430488974113135,shows
7+,2021,0.0977948226270374,shows
NR,2021,0.10067114093959731,shows
