audio,id
English,12610
Japanese,2832
Korean,1230
Hindi,888
French,847
Mandarin,645
German,613
Spanish,600
Italian,517
Thai,361
Arabic,360
Turkish,335
Swedish,326
Cantonese,307
Dutch,298
European Spanish,292
Brazilian Portuguese,287
Polish,285
Indonesian,257
Czech,226
Danish,176
Filipino,162
Russian,154
Romanian,132
Norwegian,118
Malay,109
Vietnamese,104
Marathi,88
Malayalam,79
Tamil,74
Hungarian,60
Silent,58
Punjabi,53
Hebrew,38
Bangla,33
Telugu,31
Urdu,27
Flemish,24
Finnish,20
Canadian French,20
Slovak,13
Kannada,12
Portuguese,11
Afrikaans,11
Zulu,11
Icelandic,11
Persian,8
Taiwanese,7
Tagalog,6
Catalan,6
Gujarati,6
European,5
Yoruba,4
Georgian,4
Assamese,3
Basque,3
Swahili,3
Croatian,3
Dari,3
Khmer,3
Mongolian,2
Sinhalese,2
Xhosa,2
Wolof,2
Ukrainian,2
Bulgarian,2
Hausa,2
Hokkien,2
Mayan,2
Romany,1
Bosnian,1
Greek,1
Yiddish,1
Min Nan,1
Aramaic,1
Armenian,1
Galician,1
Amharic,1
Tibetan,1
Latin,1
Belgian,1
Lingala,1
Khasi,1
Luxembourgish,1
Swiss German,1
Brazilian,1
Nepali,1
Maori,1
Southern Sotho,1
Quechua,1
Estonian,1
Manipuri,1
Serbian,1
Sanskrit,1
Javanese,1
