source,target,value
January,Action,82
January,Adventure,15
January,Animation,39
January,Anime,39
January,Biography,13
January,Comedy,167
January,Crime,71
January,Documentary,36
January,Drama,176
January,Faith,1
January,Family,61
January,Fantasy,20
January,Game-Show,1
January,Horror,36
January,Music,10
January,Mystery,24
January,Reality TV,3
January,Romance,83
January,Sci-Fi,11
January,Sport,12
January,Stand-Up Comedy,18
January,Talk-Show,1
January,Thriller,81
January,War,3
January,Western,1
February,Action,81
February,Adventure,31
February,Animation,32
February,Anime,49
February,Biography,15
February,Comedy,201
February,Crime,64
February,Documentary,28
February,Drama,233
February,Family,98
February,Fantasy,19
February,Game-Show,1
February,Horror,33
February,Music,16
February,Mystery,11
February,Reality TV,10
February,Romance,106
February,Sci-Fi,25
February,Sport,7
February,Stand-Up Comedy,10
February,Talk-Show,2
February,Thriller,72
February,War,8
February,Western,2
March,Action,110
March,Adventure,12
March,Animation,41
March,Anime,52
March,Biography,23
March,Comedy,235
March,Crime,96
March,Documentary,55
March,Drama,272
March,Family,94
March,Fantasy,17
March,Horror,42
March,Music,34
March,Mystery,23
March,Reality TV,10
March,Romance,112
March,Sci-Fi,18
March,Sport,24
March,Stand-Up Comedy,24
March,Talk-Show,1
March,Thriller,95
March,War,10
March,Western,2
April,Action,473
April,Adventure,152
April,Animation,192
April,Anime,77
April,Biography,85
April,Comedy,642
April,Crime,328
April,Documentary,43
April,Drama,587
April,Family,321
April,Fantasy,129
April,Game-Show,2
April,Horror,131
April,Music,54
April,Mystery,72
April,Reality TV,8
April,Romance,327
April,Sci-Fi,123
April,Sport,53
April,Stand-Up Comedy,25
April,Thriller,355
April,War,30
April,Western,16
May,Action,67
May,Adventure,15
May,Animation,34
May,Anime,6
May,Biography,20
May,Comedy,127
May,Crime,56
May,Documentary,22
May,Drama,124
May,Family,50
May,Fantasy,13
May,Horror,20
May,Music,13
May,Mystery,6
May,Reality TV,3
May,Romance,68
May,Sci-Fi,20
May,Sport,8
May,Stand-Up Comedy,8
May,Thriller,39
May,War,5
May,Western,1
June,Action,59
June,Adventure,15
June,Animation,42
June,Anime,13
June,Biography,27
June,Comedy,110
June,Crime,54
June,Documentary,27
June,Drama,153
June,Faith,1
June,Family,67
June,Fantasy,13
June,Game-Show,1
June,Horror,35
June,Music,12
June,Mystery,14
June,Reality TV,14
June,Romance,73
June,Sci-Fi,15
June,Sport,12
June,Stand-Up Comedy,7
June,Talk-Show,1
June,Thriller,50
June,War,10
June,Western,3
July,Action,84
July,Adventure,13
July,Animation,33
July,Anime,34
July,Biography,15
July,Comedy,171
July,Crime,65
July,Documentary,28
July,Drama,159
July,Faith,1
July,Family,62
July,Fantasy,11
July,Game-Show,1
July,Horror,34
July,Music,22
July,Mystery,9
July,Reality TV,11
July,Romance,95
July,Sci-Fi,18
July,Sport,15
July,Stand-Up Comedy,13
July,Thriller,53
July,War,3
July,Western,1
August,Action,89
August,Adventure,17
August,Animation,42
August,Anime,12
August,Biography,18
August,Comedy,181
August,Crime,71
August,Documentary,31
August,Drama,164
August,Family,60
August,Fantasy,13
August,Game-Show,1
August,Horror,45
August,Music,9
August,Mystery,8
August,Reality TV,8
August,Romance,104
August,Sci-Fi,15
August,Sport,12
August,Stand-Up Comedy,5
August,Thriller,71
August,War,3
August,Western,4
September,Action,93
September,Adventure,35
September,Animation,37
September,Anime,27
September,Biography,29
September,Comedy,175
September,Crime,87
September,Documentary,53
September,Drama,235
September,Faith,1
September,Family,73
September,Fantasy,25
September,Game-Show,1
September,Horror,46
September,Music,21
September,Mystery,12
September,Reality TV,14
September,Romance,96
September,Sci-Fi,24
September,Sport,16
September,Stand-Up Comedy,13
September,Talk-Show,2
September,Thriller,77
September,War,4
September,Western,6
October,Action,140
October,Adventure,22
October,Animation,38
October,Anime,42
October,Biography,21
October,Comedy,259
October,Crime,125
October,Documentary,41
October,Drama,291
October,Family,80
October,Fantasy,32
October,Horror,65
October,Music,27
October,Mystery,26
October,Reality TV,9
October,Romance,163
October,Sci-Fi,23
October,Sport,27
October,Stand-Up Comedy,1
October,Talk-Show,1
October,Thriller,119
October,War,12
October,Western,4
November,Action,135
November,Adventure,16
November,Animation,57
November,Anime,30
November,Biography,17
November,Comedy,230
November,Crime,98
November,Documentary,33
November,Drama,308
November,Family,114
November,Fantasy,19
November,Horror,29
November,Music,25
November,Mystery,14
November,Reality TV,12
November,Romance,148
November,Sci-Fi,45
November,Sport,19
November,Stand-Up Comedy,9
November,Thriller,72
November,War,10
November,Western,4
December,Action,145
December,Adventure,21
December,Animation,56
December,Anime,111
December,Biography,23
December,Comedy,308
December,Crime,101
December,Documentary,51
December,Drama,297
December,Faith,1
December,Family,165
December,Fantasy,21
December,Horror,47
December,Music,33
December,Mystery,17
December,Reality TV,10
December,Romance,132
December,Sci-Fi,25
December,Sport,26
December,Stand-Up Comedy,36
December,Talk-Show,1
December,Thriller,86
December,War,11
December,Western,1
