audio,count,release_date
English,1342,2015-04-14
Japanese,44,2015-04-14
Hindi,34,2015-04-14
Korean,23,2015-04-14
French,19,2015-04-14
Cantonese,11,2015-04-14
Spanish,9,2015-04-14
Mandarin,9,2015-04-14
Danish,6,2015-04-14
Norwegian,5,2015-04-14
English,1365,2015-04-15
Japanese,44,2015-04-15
Hindi,34,2015-04-15
Korean,23,2015-04-15
French,19,2015-04-15
Cantonese,11,2015-04-15
Spanish,9,2015-04-15
Mandarin,9,2015-04-15
Danish,6,2015-04-15
Norwegian,5,2015-04-15
English,1367,2015-04-19
Japanese,44,2015-04-19
Hindi,34,2015-04-19
Korean,23,2015-04-19
French,19,2015-04-19
Cantonese,11,2015-04-19
Spanish,9,2015-04-19
Mandarin,9,2015-04-19
Danish,6,2015-04-19
Norwegian,5,2015-04-19
English,1368,2015-04-20
Japanese,44,2015-04-20
Hindi,34,2015-04-20
Korean,23,2015-04-20
French,19,2015-04-20
Cantonese,11,2015-04-20
Spanish,9,2015-04-20
Mandarin,9,2015-04-20
Danish,6,2015-04-20
Norwegian,5,2015-04-20
English,1368,2015-04-21
Japanese,44,2015-04-21
Hindi,34,2015-04-21
Korean,23,2015-04-21
French,19,2015-04-21
Cantonese,11,2015-04-21
Spanish,9,2015-04-21
Mandarin,9,2015-04-21
Danish,6,2015-04-21
Norwegian,5,2015-04-21
English,1369,2015-04-22
Japanese,44,2015-04-22
Hindi,34,2015-04-22
Korean,23,2015-04-22
French,19,2015-04-22
Cantonese,11,2015-04-22
Spanish,9,2015-04-22
Mandarin,9,2015-04-22
Danish,6,2015-04-22
Norwegian,5,2015-04-22
English,1370,2015-04-24
Japanese,44,2015-04-24
Hindi,34,2015-04-24
Korean,23,2015-04-24
French,19,2015-04-24
Cantonese,11,2015-04-24
Spanish,9,2015-04-24
Mandarin,9,2015-04-24
Danish,6,2015-04-24
Norwegian,5,2015-04-24
English,1371,2015-04-26
Japanese,44,2015-04-26
Hindi,34,2015-04-26
Korean,23,2015-04-26
French,19,2015-04-26
Cantonese,11,2015-04-26
Spanish,9,2015-04-26
Mandarin,9,2015-04-26
Danish,6,2015-04-26
Norwegian,5,2015-04-26
English,1372,2015-04-30
Japanese,44,2015-04-30
Hindi,34,2015-04-30
Korean,23,2015-04-30
French,19,2015-04-30
Cantonese,11,2015-04-30
Spanish,9,2015-04-30
Mandarin,9,2015-04-30
Danish,6,2015-04-30
Norwegian,5,2015-04-30
English,1378,2015-05-01
Japanese,44,2015-05-01
Hindi,34,2015-05-01
Korean,23,2015-05-01
French,19,2015-05-01
Cantonese,11,2015-05-01
Spanish,9,2015-05-01
Mandarin,9,2015-05-01
Danish,6,2015-05-01
Norwegian,5,2015-05-01
English,1384,2015-05-02
Japanese,44,2015-05-02
Hindi,34,2015-05-02
Korean,23,2015-05-02
French,19,2015-05-02
Cantonese,11,2015-05-02
Spanish,9,2015-05-02
Mandarin,9,2015-05-02
Danish,6,2015-05-02
Norwegian,5,2015-05-02
English,1385,2015-05-04
Japanese,44,2015-05-04
Hindi,34,2015-05-04
Korean,23,2015-05-04
French,19,2015-05-04
Cantonese,11,2015-05-04
Spanish,9,2015-05-04
Mandarin,9,2015-05-04
Danish,6,2015-05-04
Norwegian,5,2015-05-04
English,1386,2015-05-06
Japanese,44,2015-05-06
Hindi,34,2015-05-06
Korean,23,2015-05-06
French,19,2015-05-06
Cantonese,11,2015-05-06
Spanish,9,2015-05-06
Mandarin,9,2015-05-06
Danish,6,2015-05-06
Norwegian,5,2015-05-06
English,1387,2015-05-07
Japanese,44,2015-05-07
Hindi,34,2015-05-07
Korean,23,2015-05-07
French,19,2015-05-07
Cantonese,11,2015-05-07
Spanish,9,2015-05-07
Mandarin,9,2015-05-07
Danish,6,2015-05-07
Norwegian,5,2015-05-07
English,1388,2015-05-09
Japanese,44,2015-05-09
Hindi,34,2015-05-09
Korean,23,2015-05-09
French,19,2015-05-09
Cantonese,11,2015-05-09
Spanish,9,2015-05-09
Mandarin,9,2015-05-09
Danish,6,2015-05-09
Norwegian,5,2015-05-09
English,1390,2015-05-10
Japanese,44,2015-05-10
Hindi,34,2015-05-10
Korean,23,2015-05-10
French,19,2015-05-10
Cantonese,11,2015-05-10
Spanish,9,2015-05-10
Mandarin,9,2015-05-10
Danish,6,2015-05-10
Norwegian,5,2015-05-10
English,1391,2015-05-13
Japanese,44,2015-05-13
Hindi,34,2015-05-13
Korean,23,2015-05-13
French,19,2015-05-13
Cantonese,11,2015-05-13
Spanish,9,2015-05-13
Mandarin,9,2015-05-13
Danish,6,2015-05-13
Norwegian,5,2015-05-13
English,1395,2015-05-15
Japanese,44,2015-05-15
Hindi,34,2015-05-15
Korean,23,2015-05-15
French,19,2015-05-15
Cantonese,11,2015-05-15
Spanish,9,2015-05-15
Mandarin,9,2015-05-15
Danish,6,2015-05-15
Norwegian,5,2015-05-15
English,1395,2015-05-16
Japanese,44,2015-05-16
Hindi,34,2015-05-16
Korean,24,2015-05-16
French,19,2015-05-16
Cantonese,11,2015-05-16
Spanish,9,2015-05-16
Mandarin,9,2015-05-16
Danish,6,2015-05-16
Norwegian,5,2015-05-16
English,1395,2015-05-17
Japanese,44,2015-05-17
Hindi,34,2015-05-17
Korean,25,2015-05-17
French,19,2015-05-17
Cantonese,11,2015-05-17
Spanish,9,2015-05-17
Mandarin,9,2015-05-17
Danish,6,2015-05-17
Norwegian,5,2015-05-17
English,1398,2015-05-20
Japanese,44,2015-05-20
Hindi,34,2015-05-20
Korean,25,2015-05-20
French,19,2015-05-20
Cantonese,11,2015-05-20
Spanish,9,2015-05-20
Mandarin,9,2015-05-20
Danish,6,2015-05-20
Norwegian,5,2015-05-20
English,1399,2015-05-23
Japanese,44,2015-05-23
Hindi,34,2015-05-23
Korean,25,2015-05-23
French,19,2015-05-23
Cantonese,11,2015-05-23
Spanish,9,2015-05-23
Mandarin,9,2015-05-23
Danish,6,2015-05-23
Norwegian,5,2015-05-23
English,1400,2015-05-24
Japanese,44,2015-05-24
Hindi,34,2015-05-24
Korean,25,2015-05-24
French,19,2015-05-24
Cantonese,11,2015-05-24
Spanish,9,2015-05-24
Mandarin,9,2015-05-24
Danish,6,2015-05-24
Norwegian,5,2015-05-24
English,1404,2015-05-27
Japanese,44,2015-05-27
Hindi,34,2015-05-27
Korean,25,2015-05-27
French,19,2015-05-27
Cantonese,11,2015-05-27
Spanish,9,2015-05-27
Mandarin,9,2015-05-27
Norwegian,6,2015-05-27
Danish,6,2015-05-27
English,1405,2015-05-31
Japanese,44,2015-05-31
Hindi,34,2015-05-31
Korean,25,2015-05-31
French,19,2015-05-31
Cantonese,11,2015-05-31
Spanish,9,2015-05-31
Mandarin,9,2015-05-31
Norwegian,6,2015-05-31
Danish,6,2015-05-31
English,1406,2015-06-01
Japanese,44,2015-06-01
Hindi,34,2015-06-01
Korean,25,2015-06-01
French,19,2015-06-01
Cantonese,11,2015-06-01
Spanish,9,2015-06-01
Mandarin,9,2015-06-01
Norwegian,6,2015-06-01
Danish,6,2015-06-01
English,1411,2015-06-02
Japanese,46,2015-06-02
Hindi,34,2015-06-02
Korean,25,2015-06-02
French,19,2015-06-02
Cantonese,11,2015-06-02
Spanish,9,2015-06-02
Mandarin,9,2015-06-02
Norwegian,6,2015-06-02
Danish,6,2015-06-02
English,1414,2015-06-03
Japanese,46,2015-06-03
Hindi,34,2015-06-03
Korean,25,2015-06-03
French,19,2015-06-03
Cantonese,11,2015-06-03
Spanish,10,2015-06-03
Mandarin,9,2015-06-03
Norwegian,6,2015-06-03
Danish,6,2015-06-03
English,1415,2015-06-04
Japanese,46,2015-06-04
Hindi,34,2015-06-04
Korean,25,2015-06-04
French,19,2015-06-04
Cantonese,11,2015-06-04
Spanish,10,2015-06-04
Mandarin,9,2015-06-04
Norwegian,6,2015-06-04
Danish,6,2015-06-04
English,1416,2015-06-06
Japanese,46,2015-06-06
Hindi,34,2015-06-06
Korean,25,2015-06-06
French,19,2015-06-06
Cantonese,11,2015-06-06
Spanish,10,2015-06-06
Mandarin,9,2015-06-06
Norwegian,6,2015-06-06
Danish,6,2015-06-06
English,1417,2015-06-08
Japanese,46,2015-06-08
Hindi,34,2015-06-08
Korean,25,2015-06-08
French,19,2015-06-08
Spanish,11,2015-06-08
Cantonese,11,2015-06-08
Mandarin,9,2015-06-08
Norwegian,6,2015-06-08
Danish,6,2015-06-08
English,1418,2015-06-09
Japanese,46,2015-06-09
Hindi,34,2015-06-09
Korean,25,2015-06-09
French,19,2015-06-09
Spanish,11,2015-06-09
Cantonese,11,2015-06-09
Mandarin,9,2015-06-09
Norwegian,6,2015-06-09
Danish,6,2015-06-09
English,1419,2015-06-10
Japanese,46,2015-06-10
Hindi,34,2015-06-10
Korean,25,2015-06-10
French,19,2015-06-10
Spanish,12,2015-06-10
Cantonese,11,2015-06-10
Mandarin,9,2015-06-10
Norwegian,6,2015-06-10
Danish,6,2015-06-10
English,1420,2015-06-12
Japanese,46,2015-06-12
Hindi,34,2015-06-12
Korean,25,2015-06-12
French,19,2015-06-12
Spanish,12,2015-06-12
Cantonese,11,2015-06-12
Mandarin,9,2015-06-12
Norwegian,6,2015-06-12
Danish,6,2015-06-12
English,1422,2015-06-13
Japanese,46,2015-06-13
Hindi,34,2015-06-13
Korean,25,2015-06-13
French,19,2015-06-13
Spanish,12,2015-06-13
Cantonese,11,2015-06-13
Mandarin,9,2015-06-13
Norwegian,6,2015-06-13
Danish,6,2015-06-13
English,1424,2015-06-15
Japanese,46,2015-06-15
Hindi,34,2015-06-15
Korean,25,2015-06-15
French,19,2015-06-15
Spanish,12,2015-06-15
Cantonese,11,2015-06-15
Mandarin,9,2015-06-15
Norwegian,6,2015-06-15
Danish,6,2015-06-15
English,1424,2015-06-16
Japanese,46,2015-06-16
Hindi,34,2015-06-16
Korean,26,2015-06-16
French,19,2015-06-16
Spanish,12,2015-06-16
Cantonese,11,2015-06-16
Mandarin,9,2015-06-16
Norwegian,6,2015-06-16
Danish,6,2015-06-16
English,1426,2015-06-17
Japanese,46,2015-06-17
Hindi,34,2015-06-17
Korean,26,2015-06-17
French,19,2015-06-17
Spanish,12,2015-06-17
Cantonese,11,2015-06-17
Mandarin,9,2015-06-17
Norwegian,6,2015-06-17
Danish,6,2015-06-17
English,1426,2015-06-19
Japanese,46,2015-06-19
Hindi,35,2015-06-19
Korean,26,2015-06-19
French,19,2015-06-19
Spanish,12,2015-06-19
Cantonese,11,2015-06-19
Mandarin,9,2015-06-19
Norwegian,6,2015-06-19
Danish,6,2015-06-19
English,1426,2015-06-20
Japanese,46,2015-06-20
Hindi,35,2015-06-20
Korean,26,2015-06-20
French,19,2015-06-20
Spanish,12,2015-06-20
Cantonese,11,2015-06-20
Mandarin,10,2015-06-20
Norwegian,6,2015-06-20
Danish,6,2015-06-20
English,1427,2015-06-22
Japanese,46,2015-06-22
Hindi,35,2015-06-22
