,release month,count
0,09-01-2014,1
1,04-01-2015,4293
2,05-01-2015,115
3,06-01-2015,105
4,07-01-2015,109
5,08-01-2015,103
6,09-01-2015,317
7,10-01-2015,254
8,11-01-2015,160
9,12-01-2015,203
10,01-01-2016,219
11,02-01-2016,99
12,03-01-2016,180
13,04-01-2016,260
14,05-01-2016,146
15,06-01-2016,172
16,07-01-2016,234
17,08-01-2016,206
18,09-01-2016,306
19,10-01-2016,305
20,11-01-2016,324
21,12-01-2016,312
22,01-01-2017,244
23,02-01-2017,181
24,03-01-2017,358
25,04-01-2017,330
26,05-01-2017,262
27,06-01-2017,281
28,07-01-2017,268
29,08-01-2017,234
30,09-01-2017,298
31,10-01-2017,253
32,11-01-2017,245
33,12-01-2017,452
34,01-01-2018,257
35,02-01-2018,211
36,03-01-2018,355
37,04-01-2018,368
38,05-01-2018,224
39,06-01-2018,214
40,07-01-2018,332
41,08-01-2018,246
42,09-01-2018,247
43,10-01-2018,512
44,11-01-2018,342
45,12-01-2018,494
46,01-01-2019,273
47,02-01-2019,355
48,03-01-2019,261
49,04-01-2019,355
50,05-01-2019,316
51,06-01-2019,287
52,07-01-2019,244
53,08-01-2019,280
54,09-01-2019,288
55,10-01-2019,304
56,11-01-2019,364
57,12-01-2019,462
58,01-01-2020,305
59,02-01-2020,201
60,03-01-2020,305
61,04-01-2020,332
62,05-01-2020,267
63,06-01-2020,402
64,07-01-2020,452
65,08-01-2020,411
66,09-01-2020,379
67,10-01-2020,453
68,11-01-2020,516
69,12-01-2020,573
70,01-01-2021,278
71,02-01-2021,456
72,03-01-2021,447
73,04-01-2021,397
74,05-01-2021,259
0,10-01-2014,0
1,11-01-2014,0
2,12-01-2014,0
3,01-01-2015,0
4,02-01-2015,0
5,03-01-2015,0
